00021400MF|الجمعية الخيريةالاسلامية بنجع الدار الأقصر
00021405MF|الجمعية المصرية لمحبي العلم والعلماء- الأسكندرية
00021406MF|جمعيه تنميه المجتمع بجرجا
00021413MF|جمعية شموع للتنمية المستدامة - المنيا
00021416MF|جمعية رجال الاعمال بشمال سيناء
00021420MF|جمعية الصعيد للتربية والتنمية- القاهرة
00021422MF|جمعية الخدمات الاجتماعية بجزيرة مطيرة قنا
00021424MF|جمعية الطفولة والتنمية باسيوط
00021425MF|جمعية تنمية الاسرة و المجتمع المحلى الفيوم
00021427MF|جمعيه الامام الحسين الدينيه الخيريه
00021429MF|جمعية تنظيم الأسرة
00021430MF|جمعية تنمية المجتمع المحلى نزلة باقور اسيوط
00021435MF|جمعية تنمية المجتمع المحلى طوخ الاقلام
00021443MF|جمعية مفتاح الحياة - الأقصر
00021446MF|مركز خدمات التنمية والسكان
00021463MF|جمعيه تنميه المجتمع نقاده قنا
00021477MF|جمعية الشابات المسلمات بالعريش-شمال سيناء
00021502MF|مؤسسة فكرة للتعليم والتنمية
00021518MF|جمعية الواحة الجميلة لذوي الاحتياجات الخاصة وتنمية المجتمع الفيوم
00021527MF|مؤسسة رخاء لتمويل وتطوير المشروعات الصغيرة
00021533MF|جمعية المصري للتنمية والتدريب
00021541MF|جمعية تنمية المجتمع بنجع سبع أسيوط
00021543MF|جمعية تنمية المجتمع بالعجمين الفيوم
00021548MF|جمعية النهضة للاغاثة والتنمية بأبو غرير ابو قرقاص المنيا
00021552MF|جمعية انا مصرى للتنمية والتدريب بقنا
00021553MF|مؤسسة وادي النيل لرعاية عمال المحاجر المنيا
00021582MF|مؤسسة بداية جديدة - ابو قرقاص المنيا
00021594MF|المجمع الخيرى الاسلامى بسفلاق-سوهاج
00021609MF|جمعية سيكم للتنمية - بلبيس الشرقية
00021615MF|الجمعية الايطالية للتمكين والتضامن ماييس
00021621MF|جمعية رعاية الصيادين وعمال الصيد-أسوان
00021635MF|جمعية تنمية المجتمع المحلى بكوم الاطرون القليوبية
00021639MF|جمعية اجيال المستقبل للتنمية\ المنيا
00021646MF|جمعية تنمية المجتمع بدوينة - ابو تيج
00021651MF|جمعية تنمية المجتمع - بنشيل الغربية
00021659MF|جمعيه تنميه المجتمع بالمنيره الحديثه قنا
00021673MF|جمعية كوم المحرص لتنمية المجتمع -أو قرقاص
00021684MF|مؤسسة الكرمة للخدمات الانسانية بالمنيا
00021697MF|مؤسسة منة الله للتنمية - الجيزة
00021701MF|مؤسسة أولاد الملوك للتنمية الشاملة المنيا
00021710MF|جمعية تنمية المجتمع بالصالحية ومقرها البياضية
00021732MF|جمعية المحبة لتنمية المجتمع-صفط-المنيا
00021751MF|جمعيه الجزويت والفرير للتنميه بالمنيا
00021755MF|جمعية وادى النيل للتنمية طهطا
00021763MF|جمعية الصحوة المصرية للتنمية الثقافية - الدقي الجيزة
00021768MF|جمعية الشروق لتنمية المرأة الريفية بنقادة - قنا
00021780MF|جمعية البر لتنمية المجتمع المحلي بسيوة - مرسي مطروح
00021784MF|جمعية ريادة الاعمال لتنمية المجتمع بطهطا بسوهاج
00021791MF|جمعية أصدقاء المرور بأسيوط
00021801MF|جمعيه تنميه المجتمع بالشاميه ساحل سليم اسيوط
00021806MF|جمعية تنمية المجتمع بنجع عمارة نجع حمادي قنا
00021810MF|مؤسسة أضواء المستقبل للتنمية بالقاهرة
00021815MF|مؤسسة نهضة بني سويف
00021821MF|جمعية تحديث الصناعات الصغيرة - جناكليس الاسكندرية
00021856MF|مؤسسة الايدى الامينة للتنمية الشاملة بنزلة العمودين
00021864MF|مؤسسة خالد عبد الله للرعاية الأجتماعية بالقاهرة
00021869MF|مؤسسة الحق والحياة للتنمية الشاملة بالمنيا
00021870MF|جمعية ابناء مصر الحرة للخدمات الاجتماعية والاعمال الخيرية بالمنيا
00021872MF|جمعيه نهضه مصر للتنميه الشامله
00021900MF|جمعية تنمية المجتمع نجع الحجيرى فقط قنا
00021903MF|مؤسسة الرعاية الاسقفية للخدامت الاجتماعية الزمالك
00021918MF|مؤسسة د/عبد الأحد جمال الدين للتنمية
00021931MF|مؤسسة امان للتنمية البشرية وتنمية المجتمع بأسيوط
00021968MF|مؤسسة حياة للتنميى المستدامة المنيا
00021978MF|جمعية نور الحياة للتنمية والتدريب - ابو قرقاص - المنيا
00021979MF|جمعية الكرامة لتنميىة المجتمعات المحليه
00021986MF|جمعية شباب المحرص للتنمية والاعمال الخيرية - المنيا
00021987MF|مؤسسة حلم لتمويل المشروعات المتناهية الصغر - بنى سويف
00022007MF|جمعية تنمية المجتمع بالصلعا
00030001MF|شركه ريفى لخدمات القروض متناهيه الصغر
00040001MF|شركة تساهيل للتمويل متناهى الصغر
00050001MF|مؤسسة التضامن للتمويل الاصغر
00060001MF|جمعية تنمية المشروعات الصغيرة ببور سعيد
00070001MF|الهيئة القبطية الإنجلية للخدمات الاجتماعية
00090001MF|مؤسسة مصر -الخير
00100001MF|سنده للتمويل المتناهى الصغر
00110001MF|امان لتمويل المشروعات المتناهية الصغر
00120001MF|تمويلى للمشروعات متناهية الصغر
00121007MF|ارادة لتمويل المشروعات متناهية الصغر
00130001MF|فورى للتمويل متناهى الصغر
00131007MF|انجاز للتمويل متناهى الصغر
00140001MF|بساطة لتمويل المشروعات الصغيرة و المتوسطة و متناهية الصغر
00150001MF|المؤسسة العامة للتكافل الاجتماعى
00160001MF|الجمعية المصرية لمساعدة صغار الصناع و الحرفين
00180001MF|شركة الاهلى كابيتال للتمويل متناهى الصغر-تمكين
00190001MF|بدايتي - للتمويل متناهي الصغر
00200001MF|ايزي كريديت للتمويل متناهى الصغر
00210001MF|المصرية للتمويل متناهي الصغر - مكسب
00220001MF|ثقة للتمويل متناهى الصغر
00230001MF|شاري للتمويل متناهي الصغر
98000001MG|التعمير للتمويل العقاري (الاولي
98010001MG|المصرية للتمويل العقاري
98020001MG|تمويل للتمويل العقاري
98040001MG|تمويل الامارات
98050001MG|بداية للتمويل العقارى
98060001MG|العربى الافريقى الدولى للتمويل العقارى
98070001MG|شركة سكن للتمويل العقارى
98080001MG|الاهلى المتحد للتمويل
98090001MG|شركة الاهلى للتمويل العقارى
98120001MG|شركة كونتكت للتمويل العقارى
98130001MG|سي اي للتمويل العقاري
98140001MG|ام ال اف للتمويل العقارى و التأجير التمويلى و التخصيم
98150001MG|شركة بلتون للتمويل العقارى
98160001MG|شركة التجاري الدولى للتمويل
00010001NB|جهاز تنمية المشروعات المتوسطه والصغيره ومتناهية الصغر
94000001NB|المصرف العربي الدولي
95000001NB|بنك ناصر الاجتماعي
00010001NG|مؤسسه مصر الخير
01000001PC|بنك الاسكندريه
02000001PC|البنك الاهلى المصرى
03000001PC|بنك القاهره
04000001PC|بنك مصــــر
00990001RA|البنك المركزى المصرى
00990002RA|الهيئة العامة للرقابة المالية
00010001RC|مجموعة هاى باك
00020001RC|ترونيك هوم للتجارة
00030001RC|عبد اللطيف جميل للتمويل
00040001RC|الشركة الدولية للاستثمار و التجارة
00050001RC|يونيون جروب للتجارة
00060001RC|المجموعه المصريه للانظمه الطبيه
00070001RC|درايف لتجارة السيارات
00080001RC|شركه هورس كار
00100001RC|الراشدين -مصر
00110001RC|رايه
00120001RC|رواج لتجارة السيارات
00130001RC|عفراء لتكنولوجيا الحاسبات
00150001RC|المصرية لأنظمة التغليف و البلاستيك
00160001RC|بروسوفت لنظم المعلومات
00170001RC|شركة البويات و الصناعات الكيماوية - باكين
00180001RC|شركة بروج للتوكيلات التجارية
00190001RC|سكاى ايجيبت للتوريدات
00200001RC|غليونجى للتجارة
